,button_pressed,rt,stimulus,time_elapsed,trial_type,worker_id,assignment_id,pid
228,0.0,16186,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.81</p>",790859,button-response,A2CQP9DZSDUC5V,3ZOTGHDK5IBVY856MT3M9O4L665OS9,14
257,0.0,14049,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.65</p>",1932310,button-response,A2HGSFG0CL508L,3HFNH7HEMHEVTF9V66199FGIXWTQGZ,15
270,0.0,4685,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.30</p>",634500,button-response,A2HLBE6RNK7DGC,3ZDAD0O1T1DJ7HWDCKV826R0KTOTX8,16
283,0.0,13133,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.96</p>",1213034,button-response,A2JCK494NV7TFX,3EF8EXOTT1VH3DFFTXWX5R0QHCJ1JK,17
312,0.0,9242,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.25</p>",1757479,button-response,A2KMX4HGXSWS7U,3DYGAII7PL816S2U9PRW3OUAYNGQP3,18
327,0.0,13993,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.00</p>",859931,button-response,A2RFZPWXR7D4I5,3VP0C6EFSGW2B7MX20L6GFJOTHT6MQ,19
342,0.0,3800,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.14</p>",726418,button-response,A2TOA704O1ML6A,3F0BG9B9MPNL9OPG4DE9GO6RX1QY74,20
359,0.0,10092,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.94</p>",1244779,button-response,A2VX8B1CJXRN2,39U1BHVTDLR7RJPZSVOKVQ2WDYPT3A,21
378,0.0,4100,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.39</p>",753780,button-response,A2W59CL4UQ3S4S,3ZV9H2YQQD7ZJ0TTN0TVIA9VHS63W9,22
395,0.0,15667,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.66</p>",865617,button-response,A2WH3GIS2KF8LU,3TXD01ZLD4H79SNSSEJDARG4ACQU4L,23
412,0.0,16079,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.05</p>",1122223,button-response,A2YBZFSUD5OP7W,3RANCT1ZVFHRUR817TT0I5MAK47UBR,24
429,0.0,5174,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.00</p>",1033489,button-response,A2YE2I9DYV9OKW,3IO1LGZLK9XNQIKT8ZBNBXIT9C5683,25
450,0.0,4851,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $2.10</p>",913995,button-response,A34D413HR7ZIFM,3PDJHANYK5GGJTLMB35TOABSCVU6HH,26
465,0.0,1090,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.06</p>",1041595,button-response,A3862RIFFUV141,32Z9ZLUT1LK68ZRQBZRN5AXJXVOHOH,27
478,0.0,10353,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.58</p>",1226190,button-response,A3C9GGDXBZW62D,3NLZY2D53PPBF7NWHXYPM7LQTDFLQ0,28
493,0.0,19541,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.80</p>",974340,button-response,A3EU2ZIKRJTLQD,39ASUFLU6X7HIYEGMP6D3KRZHI0XEJ,29
520,0.0,4357,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.38</p>",1205005,button-response,A3HMDGRGC5JB7E,39OWYR0EPKRYOH4MMWCL4GJ8VP9YF8,30
539,0.0,3428,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.54</p>",800651,button-response,A3QJJR5Y3XE92N,3F0BG9B9MPNL9OPG4DE9GO6RX2TY79,31
552,0.0,16219,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.00</p>",1195804,button-response,A3SSHRVWPASGML,3NVC2EB65QZ385OT21BJ37UBS05Y32,32
569,0.0,7936,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.00</p>",1097521,button-response,A9VLWY4KW6OCB,3UNH76FOCS54URW38JGYZ63HSRMYMI,33
588,0.0,5079,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.61</p>",966449,button-response,AA68DKY05DOXC,3LOTDFNYA7ZUZC9M7VUXJJYSKIBWFB,34
605,0.0,1786,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.46</p>",1190086,button-response,AADDOP3FHMAV1,3TVSS0C0E104IHRN2FZM0NDTBRIWTI,35
626,0.0,4879,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.20</p>",1025684,button-response,AF1MN25P3XFLG,3EWIJTFFVO79L885JDH6U64O7CIE0A,36
641,0.0,8228,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.02</p>",1043185,button-response,AHPOUVK6YUTK1,3JJVG1YBEBXA9CIM6SLSATUULNEB5Q,37
654,0.0,8614,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.54</p>",1072832,button-response,AKZ8SFOAI4RZN,3S96KQ6I9M459BRWLKUW8ZO84BCDTQ,38
703,0.0,3770,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.40</p>",1266955,button-response,AMEX6UDG3WZWK,3ERET4BTVM9U32OSFVB2LCIMUD6K9A,39
720,0.0,13228,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $2.02</p>",1181107,button-response,AV8YCU0R4D94I,3LRLIPTPEQ988LYX71P2H7T60VPKAQ,40
735,0.0,3958,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.20</p>",821687,button-response,AY8Q6SAWGFLGU,3YGXWBAF70HBNY6S6NYDGLUY3CJ4CL,41
760,0.0,5704,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $1.14</p>",1033258,button-response,AYIFHDQSXQJ6B,3LUY3GC63Z0R0AXFDQIQ3XDFTXOP74,42
777,0.0,3608,"<h1 id=""thiscompletesthehit"">This completes the HIT</h1>

<p>One or your trials has been randomly selected and we will pay you 5% of your profit on that trial as a bonus. You will be awarded a bonus of $0.86</p>",1063421,button-response,AZGBKAM5JUV5A,34YB12FSQYO480B3EDUSS6WDNVWMG8,43
