,correct,questions,responses,rt,time_elapsed,trial_type,worker_id,assignment_id,pid
39,"[True, False, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""False"",""$0.01"",""As many or as few as I wish"",""5% of my score on a random round""]",35497,306273,survey-multi-choice,A24Z8V5IV2VJ8F,3HQUKB7LNFEWGI537MWXL10IL8IHHZ,2
41,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$0.01"",""As many or as few as I wish"",""5% of my score on a random round""]",10248,346232,survey-multi-choice,A24Z8V5IV2VJ8F,3HQUKB7LNFEWGI537MWXL10IL8IHHZ,2
43,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""2"",""True"",""$0.01"",""As many or as few as I wish"",""5% of my score on a random round""]",26001,428399,survey-multi-choice,A24Z8V5IV2VJ8F,3HQUKB7LNFEWGI537MWXL10IL8IHHZ,2
45,"[True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$0.01"",""At most 5"",""5% of my score on a random round""]",15722,490033,survey-multi-choice,A24Z8V5IV2VJ8F,3HQUKB7LNFEWGI537MWXL10IL8IHHZ,2
47,"[True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$0.01"",""At most 1"",""5% of my score on a random round""]",11361,523102,survey-multi-choice,A24Z8V5IV2VJ8F,3HQUKB7LNFEWGI537MWXL10IL8IHHZ,2
49,"[True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$0.01"",""At most 1"",""5% of my score on a random round""]",11259,605822,survey-multi-choice,A24Z8V5IV2VJ8F,3HQUKB7LNFEWGI537MWXL10IL8IHHZ,2
51,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$0.01"",""As many or as few as I wish"",""5% of my score on a random round""]",12697,677266,survey-multi-choice,A24Z8V5IV2VJ8F,3HQUKB7LNFEWGI537MWXL10IL8IHHZ,2
62,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my score on a random round"",""Whether I chose the move that was best according to the information I had.""]",30970,121793,survey-multi-choice,A2CMSEHTB3NQS9,32M8BPYGATMICHLCTYW00DPW6LKGIS,3
64,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",17460,178351,survey-multi-choice,A2CMSEHTB3NQS9,32M8BPYGATMICHLCTYW00DPW6LKGIS,3
66,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",32664,303175,survey-multi-choice,A2CMSEHTB3NQS9,32M8BPYGATMICHLCTYW00DPW6LKGIS,3
77,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$0.01"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",62605,152239,survey-multi-choice,A2WC2NO555XU3J,33M4IA01QG16R2JL8VQD2RQIW7YRXY,4
79,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""2"",""True"",""$0.01"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",269287,524001,survey-multi-choice,A2WC2NO555XU3J,33M4IA01QG16R2JL8VQD2RQIW7YRXY,4
81,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""4"",""True"",""$0.01"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",12356,552184,survey-multi-choice,A2WC2NO555XU3J,33M4IA01QG16R2JL8VQD2RQIW7YRXY,4
83,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$0.01"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",14458,572465,survey-multi-choice,A2WC2NO555XU3J,33M4IA01QG16R2JL8VQD2RQIW7YRXY,4
94,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my score on a random round""]",22274,122664,survey-multi-choice,AYH6G17Q8FY3B,3QEMNNSB2XZIBDUP8HRV33WQFDSD7J,5
96,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""4"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my score on a random round""]",15329,194637,survey-multi-choice,AYH6G17Q8FY3B,3QEMNNSB2XZIBDUP8HRV33WQFDSD7J,5
98,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$2.80"",""As many or as few as I wish"",""5% of my score on a random round""]",13073,284104,survey-multi-choice,AYH6G17Q8FY3B,3QEMNNSB2XZIBDUP8HRV33WQFDSD7J,5
